d_most_recent_category,total,percentage
10_office_management,24182982.83,0.8650334650902348
6_industrial_products_and_services,2913816.51,0.10422820087528609
1_facilities_and_construction,405060.35,0.014489145552412873
2_professional_services,275072.74,0.009839444775287
7_travel,107136.74,0.0038323173815235537
5_transportation_and_logistics,57932.84,0.002072277257017742
3_information_technology,14122.01,5.051490682379307e-4
