d_fiscal_year,total,total_constant_2019_dollars
2017-2018,159882.77,164827.25
2018-2019,491538.39,498320.43
2019-2020,1068534.28,1060205.92
2020-2021,1043358.74,993612.11
2021-2022,1107409.36,1029283.19
2022-2023,749424.51,671142.08
