d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
10_office_management,2019-2020,35105.06,34650.39
10_office_management,2020-2021,52513.72,50009.90
10_office_management,2021-2022,13092.46,12398.50
10_office_management,2022-2023,22168.34,19731.23
11_defence,2017-2018,440420.35,454034.22
11_defence,2018-2019,220813.49,226297.42
2_professional_services,2017-2018,3665197.36,3777928.23
2_professional_services,2018-2019,3159479.36,3217461.29
2_professional_services,2019-2020,2403170.75,2385478.45
2_professional_services,2020-2021,1514933.75,1444049.06
2_professional_services,2021-2022,2252079.92,2078458.32
2_professional_services,2022-2023,3900628.27,3487608.97
3_information_technology,2017-2018,219013.63,225783.57
3_information_technology,2018-2019,219013.63,223210.62
3_information_technology,2019-2020,615926.62,609553.28
3_information_technology,2020-2021,411029.34,391316.24
3_information_technology,2021-2022,528843.41,490268.01
3_information_technology,2022-2023,438189.70,392016.94
9_human_capital,2017-2018,222393.85,229237.69
9_human_capital,2018-2019,342272.08,348454.28
9_human_capital,2019-2020,213112.28,211177.45
9_human_capital,2020-2021,252581.53,240728.69
9_human_capital,2021-2022,29498.75,26666.40
9_human_capital,2022-2023,147493.77,131978.04
