d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2020-2021,13513.36,12983.24
11_defence,2017-2018,8073.11,8328.90
6_industrial_products_and_services,2017-2018,24661.18,25340.77
6_industrial_products_and_services,2018-2019,188103.98,190846.02
6_industrial_products_and_services,2019-2020,40813.12,39874.78
6_industrial_products_and_services,2020-2021,79516.58,75433.19
6_industrial_products_and_services,2021-2022,41733.38,39473.14
8_security_and_protection,2019-2020,347097.70,339382.80
8_security_and_protection,2020-2021,2898888.87,2763726.62
8_security_and_protection,2021-2022,119132.42,113510.38
