owner_org,d_fiscal_year,total
dnd-mdn,2017-2018,4631582.112847507
dnd-mdn,2018-2019,1278194.3259200964
dnd-mdn,2019-2020,745223.1379387857
dnd-mdn,2020-2021,669234.8680429293
nrc-cnrc,2017-2018,58935.15
nrc-cnrc,2018-2019,40826.9
tc,2019-2020,14252.78
