d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,58935.15
1_facilities_and_construction,2018-2019,23594.4
11_defence,2017-2018,4869960.434194881
11_defence,2018-2019,1448179.5448084536
11_defence,2019-2020,759091.7510774719
11_defence,2020-2021,569995.7569318182
5_transportation_and_logistics,2019-2020,14252.78
6_industrial_products_and_services,2017-2018,120996.75
6_industrial_products_and_services,2018-2019,17232.5
6_industrial_products_and_services,2020-2021,99239.11111111111
