d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2019-2020,10783
1_facilities_and_construction,2020-2021,22474.36
10_office_management,2017-2018,12732.705490417897
10_office_management,2018-2019,12452.913454482481
10_office_management,2019-2020,25138.600021905804
10_office_management,2020-2021,2560.484994523549
2_professional_services,2017-2018,220956.51873928876
2_professional_services,2018-2019,489104.90126071125
2_professional_services,2019-2020,294551.24079726654
2_professional_services,2020-2021,112392.61333376111
3_information_technology,2017-2018,104541.56890559544
3_information_technology,2018-2019,141914.28141397846
3_information_technology,2019-2020,23553.1596804261
3_information_technology,2020-2021,11326.224866212526
5_transportation_and_logistics,2018-2019,91637.66
5_transportation_and_logistics,2019-2020,179105.94999999998
6_industrial_products_and_services,2017-2018,21182.84
6_industrial_products_and_services,2018-2019,24973
6_industrial_products_and_services,2020-2021,15519
7_travel,2017-2018,32458.69
7_travel,2018-2019,113894.33
7_travel,2019-2020,74687.86
9_human_capital,2017-2018,11211.25
9_human_capital,2018-2019,15120
9_human_capital,2019-2020,165413.4
9_human_capital,2020-2021,66627.03691891892
