normalized_vendor_name,original_vendor_name
TPG TECHNOLOGY CONSULTANTS,TPG TECHNOLOGY CONSULTING LTD.
TPG TECHNOLOGY CONSULTANTS,TPG TECHNOLOGY CONSULTING LTD
TPG TECHNOLOGY CONSULTANTS,TPG Technology Consulting Ltd.
TPG TECHNOLOGY CONSULTANTS,TPG Technology Consulting Ltd
TPG TECHNOLOGY CONSULTANTS,"MAKWA RESOURCING INC, TPG TECHNOLOGY CONSULTING LTD, IN JOINT VENTURE"
TPG TECHNOLOGY CONSULTANTS,TPG TECHNOLOGY CONSULTING LTD. AND INROUND INNOVATIONS CJV
TPG TECHNOLOGY CONSULTANTS,"MAKWA RESOURCING INC / TPG TECHNOLOGY CONSULTING LTD., IN JOINT VENTURE"
TPG TECHNOLOGY CONSULTANTS,The Powell Group TPG Technology
TPG TECHNOLOGY CONSULTANTS,TPG technology Consulting Ltd.
TPG TECHNOLOGY CONSULTANTS,Team TPG S3
TPG TECHNOLOGY CONSULTANTS,Team TPG S1
TPG TECHNOLOGY CONSULTANTS,TPG technology Consulting Ltd
TPG TECHNOLOGY CONSULTANTS,TPG TECHNOLOGY
TPG TECHNOLOGY CONSULTANTS,TPG TECHNOLOGY CONSULTING
TPG TECHNOLOGY CONSULTANTS,TPG Technology Consulting Inc
TPG TECHNOLOGY CONSULTANTS,TPG Technologies
TPG TECHNOLOGY CONSULTANTS,MAKWA RESOURCING INC. & TPG Technology Consulting
TPG TECHNOLOGY CONSULTANTS,TPG Technology Consulting
TPG TECHNOLOGY CONSULTANTS,TGP TECHNOLOGY CONSULTING LTD.
TPG TECHNOLOGY CONSULTANTS,TPG CONSULTING LTD.
TPG TECHNOLOGY CONSULTANTS,TPG TECHNOLOGY CONSULTING INC.
TPG TECHNOLOGY CONSULTANTS,"MAKWA RESOURCING INC / TPG TECHNOLOGY CONSULTING LTD, IN JV"
TPG TECHNOLOGY CONSULTANTS,"MAKWA RESOURCING INC., TPG TECHNOLOGY"
TPG TECHNOLOGY CONSULTANTS,TEAM MAKWA/TPG
TPG TECHNOLOGY CONSULTANTS,Makwa Resourcing Inc TPG TECHNOLOGY
TPG TECHNOLOGY CONSULTANTS,Team TPG
TPG TECHNOLOGY CONSULTANTS,TPG
