d_most_recent_category,d_fiscal_year,total
11_defence,2017-2018,873692.48
11_defence,2018-2019,3865276.19
11_defence,2019-2020,3561739.55
11_defence,2020-2021,3552008.02
2_professional_services,2017-2018,8852201.61
2_professional_services,2018-2019,12854947.07
2_professional_services,2019-2020,12633959.72
2_professional_services,2020-2021,16027677.84
3_information_technology,2017-2018,26716030.20
3_information_technology,2018-2019,39324578.09
3_information_technology,2019-2020,54729110.26
3_information_technology,2020-2021,54097716.87
6_industrial_products_and_services,2019-2020,18161.85
8_security_and_protection,2017-2018,206263.01
8_security_and_protection,2018-2019,81940.10
9_human_capital,2018-2019,744422.87
9_human_capital,2019-2020,1609287.63
9_human_capital,2020-2021,1594634.24
