owner_org,d_fiscal_year,total
cas-satj,2018-2019,34861.351224105456
cas-satj,2019-2020,192474.20875706212
cas-satj,2020-2021,42870.04001883239
dfatd-maecd,2018-2019,137944.39286871962
dfatd-maecd,2019-2020,226074.60986352086
dfatd-maecd,2020-2021,60341.19726775957
dfo-mpo,2019-2020,28279.35064935065
dfo-mpo,2020-2021,18050.649350649353
dnd-mdn,2018-2019,32555.616438356163
dnd-mdn,2019-2020,64844.38356164383
dnd-mdn,2020-2021,158893.2616833509
hc-sc,2019-2020,402127.1721311476
hc-sc,2020-2021,549634.3929125842
infc,2018-2019,0
infc,2019-2020,0
nrcan-rncan,2019-2020,428206.7057142857
nrcan-rncan,2020-2021,912142.348939717
ocl-cal,2020-2021,112698.29
pc,2017-2018,27594
ps-sp,2018-2019,110115.24406779661
ps-sp,2019-2020,479787.84915254236
ps-sp,2020-2021,478476.9533898305
