d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
10_office_management,2017-2018,27873.71,28569.60
10_office_management,2019-2020,24777.56,24177.93
10_office_management,2020-2021,26161.05,24826.37
10_office_management,2021-2022,26343.69,24573.74
2_professional_services,2017-2018,102946.92,105649.44
2_professional_services,2018-2019,63031.55,63999.79
2_professional_services,2019-2020,52666.45,52222.00
2_professional_services,2020-2021,52522.55,49931.63
2_professional_services,2021-2022,101821.19,94554.16
3_information_technology,2017-2018,78946.23,80995.50
3_information_technology,2018-2019,224431.42,227162.07
3_information_technology,2019-2020,37766.28,37317.33
3_information_technology,2020-2021,68090.99,64890.80
3_information_technology,2021-2022,126972.38,115367.09
9_human_capital,2020-2021,28250.00,26600.71
