d_most_recent_category,d_fiscal_year,total
10_office_management,2017-2018,27873.71
10_office_management,2018-2019,55835.41646464646
10_office_management,2019-2020,29282.657696969698
10_office_management,2020-2021,30653.83868686869
2_professional_services,2017-2018,11593.435419440746
2_professional_services,2018-2019,75009.54852135814
2_professional_services,2019-2020,65774.44591456735
2_professional_services,2020-2021,66400.04852135814
3_information_technology,2017-2018,78946.22837837838
3_information_technology,2018-2019,156618
3_information_technology,2019-2020,14988.012735507245
3_information_technology,2020-2021,42232.72726449275
8_security_and_protection,2019-2020,5165.170676328503
8_security_and_protection,2020-2021,7487.969323671498
9_human_capital,2020-2021,28250
