d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,348739.0859553044
1_facilities_and_construction,2018-2019,315322.8588964809
1_facilities_and_construction,2019-2020,468500.1893895592
1_facilities_and_construction,2020-2021,479127.9384265976
2_professional_services,2017-2018,558384.015867325
2_professional_services,2018-2019,566894.9952001752
2_professional_services,2019-2020,860063.871329454
2_professional_services,2020-2021,919635.9355057935
