d_vendor_name,d_fiscal_year,total
KPMG,2019-2020,186019.50
KPMG,2020-2021,746122.17
PRICEWATERHOUSE COOPERS,2020-2021,969150.00
S P GLOBAL MARKET INTELLIGENCE,2020-2021,21470.23
