d_vendor_name,overall_total
PRICEWATERHOUSE COOPERS,969150
KPMG,932141.666104553
WPP GROUP CANADA COMMUNICATIONS,302656.0533707865
KNOWLEDGE CIRCLE,34141.04046242774
S P GLOBAL MARKET INTELLIGENCE,21470.22900763359
PROCUREMENT LAW OFFICE,19747.572815533982
LNG PRODUCTIONS,13772.248275862068
CHARLANNE INVESTMENTS GROUP,6958.128078817734
RYERSON UNIVERSITY,600
