d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2021-2022,314050.00,284286.20
1_facilities_and_construction,2022-2023,227465.15,203291.25
10_office_management,2021-2022,1065444.74,978501.27
10_office_management,2022-2023,2167411.14,1939746.95
2_professional_services,2019-2020,194478.15,190072.03
2_professional_services,2020-2021,2081875.84,1983209.09
2_professional_services,2021-2022,19005421.07,17589639.07
2_professional_services,2022-2023,18365994.82,16371195.59
3_information_technology,2020-2021,21470.23,20370.13
3_information_technology,2021-2022,1647645.10,1512854.37
3_information_technology,2022-2023,2506849.82,2244913.89
7_travel,2022-2023,29827.00,26941.67
8_security_and_protection,2021-2022,16650.00,15051.33
8_security_and_protection,2022-2023,103889.62,93431.58
9_human_capital,2021-2022,33031.80,29860.22
9_human_capital,2022-2023,106611.71,95749.69
