d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,2113880.2589983353
1_facilities_and_construction,2018-2019,2927647.463851032
1_facilities_and_construction,2019-2020,3758606.4169331067
1_facilities_and_construction,2020-2021,3748337.000493399
