d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,723805.05,742561.20
it_consulting_services,2018-2019,1970360.00,1998597.52
it_consulting_services,2019-2020,4397804.72,4351769.76
it_consulting_services,2020-2021,4570832.51,4344447.32
it_consulting_services,2021-2022,6699881.08,6212136.38
it_devices_equipment,2019-2020,2844150.14,2810891.71
it_devices_equipment,2020-2021,2270064.03,2158012.57
it_devices_equipment,2021-2022,2084931.52,1935078.96
it_other,2020-2021,708920.89,672882.95
it_other,2021-2022,123174.77,114072.24
it_software_licensing,2019-2020,912815.93,902538.67
it_software_licensing,2020-2021,1328162.80,1263272.21
it_software_licensing,2021-2022,990113.84,917041.12
