d_vendor_name,overall_total
VFS GLOBAL,67374155.31
XPERA RISK MITIGATION INVESTIGATION,40229728.43
CANADIAN CORPS OF COMMISSIONAIRES,30531789.15
L AGENCE,24533760.24
DELOITTE,12215624.36
IBM CANADA,11827757.79
MINDWIRE SYSTEMS,7568258.74
CALIAN,7484650.78
VERITAAQ TECHNOLOGY HOUSE,6180148.02
MAPLESOFT CONSULTING,5732850.03
"NACRIS",5664052.91
CANADIAN BANK NOTE COMPANY,5438339.10
GARDA SECURITY GROUP,5418497.82
RICOH,3761102.52
THE AIM GROUP,3544826.95
CLOSEREACH,3417120.00
ACCENTURE,3331564.69
MASUD TRADING COMPANY,3271039.48
SI SYSTEMS,3144415.00
DYNABOOK CANADA,3129506.27
PORTS 79,2782408.15
EXCEL HUMAN RESOURCES,2654419.08
ORANGUTECH,2640765.50
1595769 ONTARIO,2420622.94
INTERNATIONAL REPORTING,2336927.92
CISTEL TECHNOLOGY,2196440.98
TEKSYSTEMS CANADA,2115780.68
CDW CANADA,1823195.46
DONNA CONA,1807151.95
MODIS CANADA,1793448.73
CORADIX TECHNOLOGY CONSULTING,1776219.02
NISHA TECHONOLOGIES,1758717.97
ADRM TECHNOLOGY CONSULTING,1600205.88
RANDSTAD,1594856.84
G PLUS INDUSTRIES,1376309.69
IRON MOUNTAIN,1371299.08
MICROSOFT CANADA,1323467.46
GSI INTERNATIONAL CONSULTING,1123146.42
QMR,1118814.23
HYPERTEC,1081807.08
ADSS 6175015 CANADA,1038441.13
CANADIAN RED CROSS,995202.24
CONOSCENTI TECHNOLOGIES,987954.00
IFATHOM,959567.75
NEWFOUND RECRUITING,943611.64
GARTNER,785970.03
XEROX,756172.78
ZERNAM ENTERPRISE,726680.40
6771581 CANADA,710984.37
NORTHERN MICRO,707249.91
ORACLE CANADA,649787.18
MAKWA RESOURCING,582154.20
ALTIS HUMAN RESOURCES,564303.31
CGI,539465.02
TEKNION,523239.93
WILLS TRANSFER,499435.14
TAG HR,484252.50
ADVANCED CHIPPEWA TECHNOLOGIES,462843.35
NITAM SOLUTIONS,431410.27
ECOLE DE LANGUES LA CITE,400127.50
IPSS,341190.62
SYSTEMSCOPE,338638.37
INTEGRA NETWORKS,337011.37
GLOBAL UPHOLSTERY,333070.70
VIDCRUITER,324890.68
CANON,321428.48
PURESPIRIT SOLUTIONS,315530.03
EVALUATION PERSONNEL SELECTION,312808.68
MAXSYS STAFFING AND CONSULTING,304004.21
PRICEWATERHOUSE COOPERS,296164.09
APPLIED ELECTONICS,284727.88
SIERRA SYSTEMS GROUP,277890.45
ACTION PERSONNEL OF OTTAWA HULL,269881.29
ALLSEATING,221239.10
BRECKENHILL,220855.74
DECISIVE GROUP,219948.23
NEPTUNE SECURITY SERVICES,204123.20
AVI SPL,193613.14
DALIAN ENTERPRISES,192137.40
FACTIVA,188560.35
MOBILE RESOURCE GROUP,182721.00
CBCI TELECOM,181452.56
ADVANCED BUSINESS INTERIORS,166291.85
KONICA MINOLTA BUSINESS SOLUTIONS,161677.50
THE HALIFAX COMPUTER CONSULTING GROUP,145634.40
TRM TECHNOLOGIES,145417.47
THE KTL GROUP,144075.00
DYNAMIC PERSONNEL CONSULTANTS,136469.49
AIR INUIT,135665.42
ALIKA INTERNET TECHNOLOGIES,132492.50
SOLOTECH,129583.17
PROSCI CANADA,123904.50
INFO TECH RESEARCH GROUP,119863.28
THE RIGHT DOOR CONSULTING,118366.09
4 OFFICE AUTOMATION,116678.58
DARE HUMAN RESOURCES,111291.35
ECLIPSYS SOLUTIONS,105090.00
MDOS CONSULTING,102830.00
2KEYS,102434.50
COENTREPRISE CITE CARON,101864.00
ADGA GROUP,99992.29
6854265 CANADA,99315.08
A NET SOLUTIONS,93884.18
IBISKA TELECOM,93648.75
ST JOSEPH PRINT GROUP,88847.38
PRINTERS PLUS,88049.41
PROCOM CONSULTANTS,86776.23
TECSIS,86614.50
GRAYBRIDGE INTERNATIONAL CONSULTING,85489.71
LUMINA IT,85369.92
BDO CANADA,85026.84
MILITARY TRAVEL,82682.93
NUA OFFICE,82648.88
CONVERGINT TECHNOLOGIES,82620.14
D DOYLE INSTALLATIONS,81454.67
BMC SOFTWARE CANADA,80093.57
SHI CANADA,78939.91
SOFTCHOICE,76017.59
PANASONIC,74578.31
SOLIDCAD,71830.61
CSDC SYSTEMS,69739.52
STONEWORKS TECHNOLOGIES,68222.51
PRA,66670.00
GENESIS INTEGRATION,63350.18
SAMSON ASSOCIES,58480.23
TPG TECHNOLOGY CONSULTANTS,58048.39
SDL INTERNATIONAL CANADA,58004.60
QUINTET CONSULTING,55850.25
LOWE MARTIN COMPANY,55356.03
LEXISNEXIS CANADA,52272.00
TANKATEK 6854265 CANADA,49890.91
HACKETT CONSULTING,48304.90
KNOWLEDGE CIRCLE LEARNING SERVICES,48230.00
SPEARHEAD MANAGEMENT CANADA,45272.70
PHOENIX STRATEGIC PERSPECTIVES,44201.05
AVENAI,43463.16
CONFERENCE BOARD OF CANADA,42668.67
SOFTSIM TECHNOLOGIES,41944.13
COMPOSITION STE FOY,40000.00
LANNICK CONTRACT SOLUTIONS,39999.83
LEAN AGILITY,39550.00
CONTRACT COMMUNITY,38985.00
PITNEY BOWES,38087.01
RMS SOFTWARE,37507.25
DELL COMPUTER,36456.06
ADPEARL,36158.59
TELUS CANADA,33542.15
FUJITSU,32609.70
SOLUTIONS MOERAE,32238.35
ENSEIGNES PATTISON SIGN GROUP,31887.82
