d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,346226.6475502008
1_facilities_and_construction,2018-2019,1301935.887809751
1_facilities_and_construction,2019-2020,1945828.3528223997
1_facilities_and_construction,2020-2021,1660967.9047843488
10_office_management,2017-2018,232967.552460733
2_professional_services,2017-2018,13083947.92535094
2_professional_services,2018-2019,16342061.929449936
2_professional_services,2019-2020,18748226.75099233
2_professional_services,2020-2021,19406517.74367254
3_information_technology,2017-2018,1402413.2312256412
3_information_technology,2018-2019,789459.5704931429
3_information_technology,2019-2020,767217.7285341977
3_information_technology,2020-2021,304717.2754655091
5_transportation_and_logistics,2017-2018,218948.8374350205
5_transportation_and_logistics,2018-2019,1700347.3545485635
5_transportation_and_logistics,2019-2020,1705005.8404514364
5_transportation_and_logistics,2020-2021,1700347.3545485635
9_human_capital,2017-2018,13435.7
