owner_org,d_fiscal_year,total
jus,2019-2020,8828271.91
jus,2020-2021,6720829.16
lac-bac,2017-2018,2390878.31
lac-bac,2018-2019,3446972.41
lac-bac,2019-2020,5255056.93
lac-bac,2020-2021,2533108.04
mgerc-ceegm,2017-2018,82375.35
mgerc-ceegm,2018-2019,219597.05
mgerc-ceegm,2019-2020,62692.21
mgerc-ceegm,2020-2021,144382.56
mpcc-cppm,2017-2018,5886.38
mpcc-cppm,2018-2019,9586.49
mpcc-cppm,2019-2020,39128.4
mpcc-cppm,2020-2021,31751.6
nbc-ccbn,2017-2018,56821.44
nbc-ccbn,2018-2019,145407.9
nbc-ccbn,2019-2020,26985.66
nfb-onf,2017-2018,825646.82
nfb-onf,2018-2019,1193284.82
nfb-onf,2019-2020,1831368.82
nfb-onf,2020-2021,885636.2
nrc-cnrc,2017-2018,29705862.27
nrc-cnrc,2018-2019,22310243.06
nrc-cnrc,2019-2020,30206755.58
nrc-cnrc,2020-2021,20984821.89
nrcan-rncan,2017-2018,23991585.04
nrcan-rncan,2018-2019,23294528.93
nrcan-rncan,2019-2020,29241467.4
nrcan-rncan,2020-2021,21733741.06
nserc-crsng,2017-2018,3603249.7
nserc-crsng,2018-2019,7113569.22
nserc-crsng,2019-2020,7795167.76
nserc-crsng,2020-2021,7533885.42
nsira-ossnr,2019-2020,46494.07
nsira-ossnr,2020-2021,48774.98
oag-bvg,2017-2018,737643.63
oag-bvg,2018-2019,930911.7
oag-bvg,2019-2020,2690008.64
oag-bvg,2020-2021,2752782.38
oci-bec,2017-2018,106819.94
oci-bec,2018-2019,108357.96
oci-bec,2019-2020,96937.12
oci-bec,2020-2021,112431.06
ocl-cal,2018-2019,16781.46
ocl-cal,2019-2020,240.71
ocl-cal,2020-2021,5857.34
ocol-clo,2017-2018,401203.87
ocol-clo,2018-2019,684903.7
ocol-clo,2019-2020,710205.05
ocol-clo,2020-2021,819117.49
oic-ci,2017-2018,1300975.86
oic-ci,2018-2019,3368995.23
oic-ci,2019-2020,2727473.46
oic-ci,2020-2021,502978.96
opc-cpvp,2017-2018,881268.17
opc-cpvp,2018-2019,643628.23
opc-cpvp,2019-2020,293394.42
opc-cpvp,2020-2021,189743.91
osfi-bsif,2017-2018,8580749.02
osfi-bsif,2018-2019,13048664.37
osfi-bsif,2019-2020,17113869.33
osfi-bsif,2020-2021,15261426.23
osgg-bsgg,2017-2018,202101.94
osgg-bsgg,2018-2019,257397.66
osgg-bsgg,2019-2020,659933.16
osgg-bsgg,2020-2021,744705.52
pbc-clcc,2017-2018,NA
pbc-clcc,2018-2019,NA
pbc-clcc,2019-2020,540198.43
pbc-clcc,2020-2021,319492.58
pc,2017-2018,23365078.81
pc,2018-2019,25323028.08
pc,2019-2020,18943436.61
pc,2020-2021,17237711.45
pch,2017-2018,9186003.99
pch,2018-2019,7271278.62
pch,2019-2020,3319715.72
pch,2020-2021,3954948.5
pco-bcp,2017-2018,17096127.95
pco-bcp,2018-2019,7913198.47
pco-bcp,2019-2020,8761603.47
pco-bcp,2020-2021,10339211.51
phac-aspc,2017-2018,3346186.56
phac-aspc,2018-2019,2011070.27
phac-aspc,2019-2020,4102654.76
phac-aspc,2020-2021,6910405.29
pmprb-cepmb,2017-2018,118519.81
pmprb-cepmb,2018-2019,203463.23
pmprb-cepmb,2019-2020,544043.39
pmprb-cepmb,2020-2021,346462.96
polar-polaire,2019-2020,19875
ppsc-sppc,2017-2018,2296976.67
ppsc-sppc,2018-2019,2432442.89
ppsc-sppc,2019-2020,1825718.01
ppsc-sppc,2020-2021,2142370.56
pptc,2017-2018,243564.11
pptc,2018-2019,206782.03
pptc,2019-2020,88944.6
ps-sp,2017-2018,2864799.33
ps-sp,2018-2019,4297709.43
ps-sp,2019-2020,2602967.49
ps-sp,2020-2021,2929947.47
psc-cfp,2017-2018,2341049.05
psc-cfp,2018-2019,3289595.91
psc-cfp,2019-2020,4210408.84
psc-cfp,2020-2021,3746830.67
psic-ispc,2017-2018,11187
psic-ispc,2019-2020,146694.46
psic-ispc,2020-2021,12223.15
pwgsc-tpsgc,2017-2018,48494555.6
pwgsc-tpsgc,2018-2019,87665825.97
pwgsc-tpsgc,2019-2020,77026985.72
pwgsc-tpsgc,2020-2021,55022892.85
rcmp-grc,2017-2018,113422176.07
rcmp-grc,2018-2019,122054016.38
rcmp-grc,2019-2020,91814700.87
rcmp-grc,2020-2021,107058166.39
sirc-csars,2017-2018,14415.97
ssc-spc,2017-2018,91339207.62
ssc-spc,2018-2019,126441874.7
ssc-spc,2019-2020,140278830.9
ssc-spc,2020-2021,180574659.31
sshrc-crsh,2017-2018,187323.18
sshrc-crsh,2018-2019,183147.74
sshrc-crsh,2019-2020,532873.21
sshrc-crsh,2020-2021,261536.23
statcan,2017-2018,4519395.01
statcan,2018-2019,3585246.43
statcan,2019-2020,3356455.14
statcan,2020-2021,22882114.61
swc-cfc,2017-2018,337176.67
swc-cfc,2018-2019,258020.03
tbs-sct,2017-2018,19126324.49
tbs-sct,2018-2019,24683263.72
tbs-sct,2019-2020,33925549.82
tbs-sct,2020-2021,39322346.59
tc,2017-2018,13851333.97
tc,2018-2019,13340101.79
tc,2019-2020,25547819.46
tc,2020-2021,22074315.22
tsb-bst,2017-2018,66976.78
tsb-bst,2018-2019,315982.33
tsb-bst,2019-2020,862922.07
tsb-bst,2020-2021,736640.15
vac-acc,2017-2018,552961.15
vac-acc,2018-2019,2205755.7
vac-acc,2019-2020,2574966.62
vac-acc,2020-2021,1526891.43
vrab-tacra,2017-2018,69571.6
vrab-tacra,2018-2019,38364.51
vrab-tacra,2019-2020,1216.06
vrab-tacra,2020-2021,94693.09
wage,2017-2018,5213.76
wage,2018-2019,283213.37
wage,2019-2020,1062461.84
wage,2020-2021,814953.83
wd-deo,2017-2018,12103.62
wd-deo,2018-2019,16547
wd-deo,2019-2020,278356.91
