owner_org,overall_total
cic,442242836.80
dnd-mdn,270448749.80
pwgsc-tpsgc,183508622.92
dfatd-maecd,98002111.32
cra-arc,78176958.58
csc-scc,74735364.54
pc,71735599.63
nrc-cnrc,71001329.37
esdc-edsc,51384701.91
dfo-mpo,44257116.49
rcmp-grc,42016669.22
jus,31385137.78
elections,31303765.97
statcan,26850033.27
ic,21837170.21
ec,21009737.11
tc,19647846.78
hc-sc,18072925.41
cbsa-asfc,17524753.59
cfia-acia,14296134.67
nrcan-rncan,13694304.55
ssc-spc,12494618.88
vac-acc,8964313.35
aafc-aac,8281421.99
pch,7809468.63
ppsc-sppc,7778944.45
isc-sac,7562866.94
phac-aspc,7369358.62
ps-sp,5999237.10
pco-bcp,5777675.10
cas-satj,5770791.83
aandc-aadnc,5693778.69
irb-cisr,4893667.53
fin,3972392.85
tbs-sct,3945472.98
osfi-bsif,3924917.32
infc,3588121.65
nfb-onf,2881251.35
oag-bvg,2713362.07
atssc-scdata,2392856.18
nserc-crsng,1831853.29
pbc-clcc,1659551.35
cnsc-ccsn,1644416.85
lac-bac,1578529.71
csps-efpc,1552074.56
acoa-apeca,1514770.67
iaac-aeic,1393398.27
cgc-ccg,1228932.04
iic-iac,1065444.74
osgg-bsgg,1035697.98
opc-cpvp,1010234.08
fja-cmf,977137.23
csa-asc,788761.94
wage,765027.09
cihr-irsc,758257.55
fcac-acfc,742014.70
ocol-clo,674900.49
nbc-ccbn,617485.37
cta-otc,596675.14
pptc,539290.73
cer-rec,536949.83
sshrc-crsh,534243.17
chrc-ccdp,491546.01
fintrac-canafe,407986.29
psc-cfp,358091.28
oic-ci,343296.95
crtc,324864.14
tsb-bst,263240.77
wd-deo,248582.95
vrab-tacra,203845.26
feddevontario,203509.85
ijc-cmi,200970.40
ced-dec,195347.37
cics-scic,179277.96
psic-ispc,171140.76
fpcc-cpac,163956.53
nsira-ossnr,156660.28
mgerc-ceegm,146147.41
cpc-cpp,139206.96
swc-cfc,110503.87
oci-bec,105156.01
ccohs-cchst,97955.79
pmprb-cepmb,59372.28
cannor,55445.19
casdo-ocena,31698.60
mpcc-cppm,26367.76
sirc-csars,25176.23
ocl-cal,16781.46
