owner_org,overall_total
cic,564419892.54
dnd-mdn,323300241.11
pwgsc-tpsgc,222091126.29
dfatd-maecd,113429644.30
pc,101298137.19
cra-arc,94325737.09
csc-scc,85139856.82
nrc-cnrc,80426867.94
esdc-edsc,65077605.78
rcmp-grc,53162324.38
dfo-mpo,48800887.10
elections,40660072.08
jus,34334946.07
statcan,28166338.29
ic,27966168.15
tc,27074777.06
ec,23326192.63
hc-sc,21115939.44
cbsa-asfc,19264780.70
cfia-acia,16640176.28
nrcan-rncan,16633898.87
irb-cisr,15301359.68
vac-acc,15063121.71
ssc-spc,14110390.95
aafc-aac,10479697.52
isc-sac,9793724.48
pch,9422310.17
ppsc-sppc,8830757.90
phac-aspc,8559619.67
pco-bcp,6964383.00
ps-sp,6938360.85
cas-satj,6599333.94
aandc-aadnc,6515058.96
fin,6404977.92
osfi-bsif,4499366.69
tbs-sct,4330987.33
infc,4075135.25
iic-iac,3232855.88
nfb-onf,3069331.84
oag-bvg,2955209.39
atssc-scdata,2512214.74
lac-bac,2409860.18
pbc-clcc,2143231.85
nserc-crsng,1885271.69
cnsc-ccsn,1845817.22
csps-efpc,1779394.59
acoa-apeca,1702132.34
cgc-ccg,1652722.50
iaac-aeic,1474753.54
osgg-bsgg,1242564.65
opc-cpvp,1198443.08
fja-cmf,1094200.78
fcac-acfc,957754.54
prairiescan,952677.63
wage,944641.16
csa-asc,924898.47
ocol-clo,849890.99
cihr-irsc,840630.23
nbc-ccbn,752346.00
cer-rec,662108.79
cta-otc,596675.14
chrc-ccdp,587015.82
sshrc-crsh,562576.06
pptc,539290.73
fintrac-canafe,434744.16
psc-cfp,383012.11
oic-ci,361323.67
ced-dec,345711.72
crtc,324864.14
vrab-tacra,310910.43
tsb-bst,296322.18
cics-scic,285438.56
wd-deo,248582.95
feddevontario,224957.25
ijc-cmi,200970.40
fpcc-cpac,200954.47
psic-ispc,183363.91
ccohs-cchst,159672.05
nsira-ossnr,156660.28
mgerc-ceegm,154027.84
cpc-cpp,141337.18
oci-bec,111028.03
swc-cfc,110503.87
pmprb-cepmb,88722.77
cannor,79183.33
pacifican,70651.87
casdo-ocena,31698.60
mpcc-cppm,26367.76
sirc-csars,25176.23
ocl-cal,16781.46
