owner_org,overall_total
dnd-mdn,1838728901.5
cic,574995665.07
ssc-spc,538634572.53
cbsa-asfc,453389052.91
rcmp-grc,434349059.72
esdc-edsc,342033804.41
pwgsc-tpsgc,268210260.15
dfatd-maecd,264527736.82
ic,167634299.34
dfo-mpo,165393450.08
aafc-aac,163275441.04
csc-scc,156095916.67
tbs-sct,117057484.62
nrc-cnrc,103207682.8
nrcan-rncan,98261322.43
pc,84869254.96
tc,74813570.44
cfia-acia,59847053.57
ec,59552307.91
osfi-bsif,54004708.96
pco-bcp,44110141.39
hc-sc,43920462.4
statcan,34343211.19
elections,30223216.3
jus,29064985.86
nserc-crsng,26045872.11
pch,23731946.83
atssc-scdata,20134473.02
cnsc-ccsn,18057724.62
irb-cisr,17277894.49
aandc-aadnc,17243178.57
phac-aspc,16370316.87
lac-bac,13626015.69
psc-cfp,13587884.48
ps-sp,12695423.72
cer-rec,11989487.42
isc-sac,11633907.46
cas-satj,10970421.7
fin,9409366.67
ppsc-sppc,8697508.13
oic-ci,7900423.51
oag-bvg,7111346.35
csa-asc,6965968.86
vac-acc,6860574.91
csps-efpc,5355026.21
nfb-onf,4735936.66
fcac-acfc,4617971.04
fja-cmf,4551707.64
acoa-apeca,4254723.64
ced-dec,3710327.69
iaac-aeic,3382923.87
infc,3240203.76
cta-otc,2701874.29
ocol-clo,2615430.11
wage,2165842.8
opc-cpvp,2008034.73
tsb-bst,1982521.32
osgg-bsgg,1864138.29
cgc-ccg,1531719.92
fintrac-canafe,1367153.76
pmprb-cepmb,1212489.4
sshrc-crsh,1164880.36
cpc-cpp,978767.07
cihr-irsc,740330.61
swc-cfc,595196.7
chrc-ccdp,576035.77
cics-scic,556279.85
pptc,539290.73
mgerc-ceegm,509047.17
crtc,450575.21
oci-bec,424546.08
ijc-cmi,373736.96
wd-deo,307007.53
cannor,291088.7
feddevontario,285514.27
nbc-ccbn,229215
vrab-tacra,203845.26
psic-ispc,170104.61
fpcc-cpac,163956.53
ccohs-cchst,149542.02
nsira-ossnr,95269.05
erc-cee,92165
mpcc-cppm,86352.87
casdo-ocena,31698.6
ocl-cal,22879.52
polar-polaire,19875
sirc-csars,14415.97
iic-iac,6958.13
cra-arc,NA
pbc-clcc,NA
