normalized_vendor_name,original_vendor_name
LEXISNEXIS CANADA,LEXISNEXIS CANADA INC.
LEXISNEXIS CANADA,LEXISNEXIS CANADA INC
LEXISNEXIS CANADA,LexisNexis Canada Inc.
LEXISNEXIS CANADA,Lexisnexis Canada Inc.
LEXISNEXIS CANADA,LEXIS NEXIS CANADA INC
LEXISNEXIS CANADA,Lexis Nexis Canada
LEXISNEXIS CANADA,LEXIS NEXIS CANADA INC.
LEXISNEXIS CANADA,LEXISNEXIS CANADA
LEXISNEXIS CANADA,LexisNexis Canada Inc
LEXISNEXIS CANADA,Lexis Nexis Canada Inc.
LEXISNEXIS CANADA,Lexisnexis Canada
LEXISNEXIS CANADA,LEXISNEXUS CANADA INC
LEXISNEXIS CANADA,LexisNexis Canada INC
LEXISNEXIS CANADA,Lexis Nexis Canada Inc
LEXISNEXIS CANADA,"Lexis Nexis Canada Inc,"
