d_most_recent_category,total,percentage
3_information_technology,73472054.52629113,0.5068542706724789
10_office_management,27901680.697391547,0.19248251749040435
2_professional_services,23225513.192927994,0.1602235111879592
8_security_and_protection,13082467.15,0.09025069992478733
9_human_capital,3539068.9221677748,0.02441461871415472
5_transportation_and_logistics,2000650.3674415112,0.013801685408121154
4_medical,826525.7660785865,0.005701870147211757
1_facilities_and_construction,315079.7361355986,0.002173608876086884
7_travel,294312.3798931794,0.0020303432049427576
6_industrial_products_and_services,154681.3971043045,0.0010670849919930778
NA,144926.43,9.997893818598808e-4
