d_most_recent_category,total,percentage
3_information_technology,73305847.86,0.5074739004298779
10_office_management,27801930.70,0.19246423884655253
2_professional_services,23186528.19,0.16051322293831588
8_security_and_protection,12853375.65,0.08897997725453514
9_human_capital,3539068.92,0.024499888649618735
5_transportation_and_logistics,2000650.37,0.013849888856957437
4_medical,826525.77,0.0057217843676699714
1_facilities_and_construction,315079.74,0.0021812003724259394
7_travel,294312.38,0.002037434334895768
6_industrial_products_and_services,184203.27,0.0012751827259039272
NA,144926.43,0.0010032812232466713
