d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
11_defence,2017-2018,4259100.39,4390236.72
11_defence,2018-2019,9769600.46,9970283.58
11_defence,2019-2020,4602429.33,4614657.62
11_defence,2020-2021,106439.20,100951.39
11_defence,2021-2022,3022374.49,2865712.86
5_transportation_and_logistics,2017-2018,474815.61,488542.92
5_transportation_and_logistics,2018-2019,668810.22,683178.42
5_transportation_and_logistics,2019-2020,405217.65,402144.42
5_transportation_and_logistics,2020-2021,168914.26,161377.40
5_transportation_and_logistics,2021-2022,285940.06,267033.00
6_industrial_products_and_services,2017-2018,150614.87,155239.87
6_industrial_products_and_services,2018-2019,116336.01,117378.02
6_industrial_products_and_services,2019-2020,162908.78,161644.57
