d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,141291.69875776398
11_defence,2017-2018,4117808.6917455057
11_defence,2018-2019,9769600.457890341
11_defence,2019-2020,4602429.329618233
11_defence,2020-2021,106439.2
5_transportation_and_logistics,2017-2018,474815.61000000004
5_transportation_and_logistics,2018-2019,668810.22
5_transportation_and_logistics,2019-2020,405217.64999999997
5_transportation_and_logistics,2020-2021,168914.26093750002
6_industrial_products_and_services,2017-2018,150614.8723076923
6_industrial_products_and_services,2018-2019,116336.01496183207
6_industrial_products_and_services,2019-2020,162908.77503816792
