d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
5_transportation_and_logistics,2021-2022,11970.09,11182.26
6_industrial_products_and_services,2020-2021,1726748.78,1641761.83
6_industrial_products_and_services,2021-2022,437699.55,413871.69
