d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
2_professional_services,2020-2021,484433.23,459974.28
2_professional_services,2021-2022,1167740.85,1085082.57
2_professional_services,2022-2023,1511158.24,1351904.60
3_information_technology,2018-2019,48914.96,49463.87
3_information_technology,2019-2020,239005.02,236370.17
3_information_technology,2020-2021,286130.47,272708.21
3_information_technology,2021-2022,212957.40,197416.09
3_information_technology,2022-2023,0.00,0.00
