normalized_vendor_name,original_vendor_name
ORACLE CANADA,ORACLE CANADA ULC
ORACLE CANADA,Oracle Canada Ulc
ORACLE CANADA,ORACLE
ORACLE CANADA,ORACLE CANADA
ORACLE CANADA,Oracle Corporation Canada Inc.
ORACLE CANADA,ORACLE CORPORATION CANADA INC.
ORACLE CANADA,Oracle Canada ULC
ORACLE CANADA,Oracle
ORACLE CANADA,ORACLE CORPORATION CANADA INC
ORACLE CANADA,ORACLE CANADA ULC - OTTAWA ON
ORACLE CANADA,ORACLE CORP. CANADA INC.
ORACLE CANADA,ORACLE CORPORATIONS CANADA INC
ORACLE CANADA,ORACLE CANADA ULC.
ORACLE CANADA,ORACLE CANADA INC
ORACLE CANADA,Oracle Corporation Canada Incorporated
ORACLE CANADA,Oracle ULC
ORACLE CANADA,Oracle Canada Corporation
ORACLE CANADA,Oracle Canada
ORACLE CANADA,Oracle Canada ULC.
ORACLE CANADA,ORACLE Canada ULC
ORACLE CANADA,SSC/Oracle
ORACLE CANADA,ORACLE CORPORATION
ORACLE CANADA,Oracle Corporation Canada Inc
ORACLE CANADA,ORACLE CANADA LLC
ORACLE CANADA,Oracle Corporation
ORACLE CANADA,Oracle  Canada ULC
ORACLE CANADA,Oracle University
ORACLE CANADA,*Oracle Canada ULC
ORACLE CANADA,ORACLE CORPORATION LTD.
ORACLE CANADA,ORACLE UNIVERSITY
ORACLE CANADA,oracle canada ulc
ORACLE CANADA,190756 Oracle Canada ULC
ORACLE CANADA,ORACLE CA ULC
ORACLE CANADA,"ORACLE CORPORATION CANADA INC.,"
ORACLE CANADA,Oracel
