d_fiscal_year,total,total_constant_2019_dollars
2017-2018,5823197.16,5952027.71
2018-2019,8556802.54,8671989.36
2019-2020,8009940.87,7990156.11
2020-2021,8216915.79,7980558.24
2021-2022,11106391.79,7872206.37
