d_most_recent_category,total,percentage
2_professional_services,187837703.91,0.35051211829183115
3_information_technology,134788375.15,0.2515201043889851
5_transportation_and_logistics,63823438.11,0.11909690132706521
6_industrial_products_and_services,46996498.92,0.08769720905315517
9_human_capital,32946753.12,0.06147986260550633
NA,23645904.79,0.04412413484684945
8_security_and_protection,16511521.55,0.030811111263928513
1_facilities_and_construction,15974980.97,0.02980990666241432
10_office_management,12261153.12,0.022879766226285705
7_travel,928900.28,0.0017333623636003037
4_medical,179805.09,3.35522970378746e-4
