d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,3431527.21
1_facilities_and_construction,2018-2019,4253574.49
1_facilities_and_construction,2019-2020,3732788.82
1_facilities_and_construction,2020-2021,4557090.46
10_office_management,2017-2018,5111184.94
10_office_management,2018-2019,3566952.43
10_office_management,2019-2020,2242245.29
10_office_management,2020-2021,1340770.47
2_professional_services,2017-2018,52737922.25
2_professional_services,2018-2019,53367189.37
2_professional_services,2019-2020,41532927.79
2_professional_services,2020-2021,40199664.50
3_information_technology,2017-2018,26322539.43
3_information_technology,2018-2019,30977381.56
3_information_technology,2019-2020,37034967.52
3_information_technology,2020-2021,40453486.64
4_medical,2017-2018,65195.16
4_medical,2018-2019,19078.64
4_medical,2019-2020,52965.12
4_medical,2020-2021,42566.18
5_transportation_and_logistics,2017-2018,18448259.72
5_transportation_and_logistics,2018-2019,18453557.42
5_transportation_and_logistics,2019-2020,15705656.51
5_transportation_and_logistics,2020-2021,11215964.45
6_industrial_products_and_services,2017-2018,14496193.82
6_industrial_products_and_services,2018-2019,13342050.36
6_industrial_products_and_services,2019-2020,10357935.84
6_industrial_products_and_services,2020-2021,8800318.90
7_travel,2017-2018,510025.25
7_travel,2018-2019,405540.03
7_travel,2019-2020,13335.00
8_security_and_protection,2017-2018,3956355.90
8_security_and_protection,2018-2019,4248002.59
8_security_and_protection,2019-2020,4234141.03
8_security_and_protection,2020-2021,4073022.03
9_human_capital,2017-2018,8699319.23
9_human_capital,2018-2019,6218119.13
9_human_capital,2019-2020,10225048.48
9_human_capital,2020-2021,7804266.29
NA,2017-2018,6894060.64
NA,2018-2019,6985297.32
NA,2019-2020,4907661.26
NA,2020-2021,4858885.57
