d_most_recent_category,total,percentage
1_facilities_and_construction,103018207.24956739,0.6535484918082336
2_professional_services,52495788.63146835,0.33303378502079334
6_industrial_products_and_services,614834.786401099,0.0039005177637214524
3_information_technology,464534.5831838182,0.0029470118374033904
9_human_capital,372608.28574264207,0.0023638305274757895
7_travel,259939.0727311828,0.0016490559628352362
NA,207055.43,0.0013135616276973559
5_transportation_and_logistics,88951.35,5.64308214915577e-4
11_defence,74469.57473015873,4.724356941350303e-4
10_office_management,17640,1.1190832866629656e-4
8_security_and_protection,14989.449999999999,9.509321412284687e-5
