d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,21486588.92,22142475.15
it_consulting_services,2018-2019,26404192.42,26874290.43
it_consulting_services,2019-2020,28060295.57,27835705.98
it_consulting_services,2020-2021,17138613.01,16329571.57
it_consulting_services,2021-2022,25430260.93,23860087.14
it_devices_equipment,2017-2018,1994933.23,2050157.08
it_devices_equipment,2018-2019,3429517.54,3492230.27
it_devices_equipment,2019-2020,299889.65,293498.62
it_devices_equipment,2020-2021,964776.27,921746.16
it_devices_equipment,2021-2022,13006506.17,11921148.33
it_other,2017-2018,141599.42,145524.29
it_other,2018-2019,31769.76,32082.43
it_other,2019-2020,56680.33,56225.46
it_software_licensing,2017-2018,199647.16,205322.39
it_software_licensing,2018-2019,735280.00,748212.24
it_software_licensing,2019-2020,315820.30,312907.10
it_software_licensing,2020-2021,664226.39,634550.34
it_software_licensing,2021-2022,451921.99,420544.23
