d_most_recent_category,d_fiscal_year,total
11_defence,2017-2018,150044.09781420766
11_defence,2018-2019,249178.08218579233
11_defence,2019-2020,12087.443923705721
11_defence,2020-2021,751054.3660762943
2_professional_services,2017-2018,14233842.670833793
2_professional_services,2018-2019,16664161.919924365
2_professional_services,2019-2020,15905261.941243762
2_professional_services,2020-2021,8065383.652941999
3_information_technology,2017-2018,21915352.46102579
3_information_technology,2018-2019,26107549.32770018
3_information_technology,2019-2020,24478934.741911724
3_information_technology,2020-2021,17003247.250526812
7_travel,2018-2019,76312.31756345178
7_travel,2019-2020,129626.40243654822
9_human_capital,2018-2019,24012.5
9_human_capital,2020-2021,19453.018356164386
