normalized_vendor_name,original_vendor_name
KF AEROSPACE,Kelowna Flightcraft Limited
KF AEROSPACE,Allied Wings
KF AEROSPACE,ALLIED WINGS LIMITED PARTNERSHIP
KF AEROSPACE,Allied Wings Limited Partnership
KF AEROSPACE,KF Aerospace
KF AEROSPACE,KELOWNA FLIGHTCRAFT LTD
KF AEROSPACE,ALLIED WINGS FLIGHT TRAINING SERVICES
KF AEROSPACE,KELOWNA FLIGHTCRAFT
KF AEROSPACE,Kelowna Flightcraft Air Charter Ltd.
