d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
2_professional_services,2017-2018,612466.45,631369.97
2_professional_services,2018-2019,700378.39,713620.72
2_professional_services,2019-2020,677228.76,671826.52
2_professional_services,2020-2021,675378.41,643176.83
2_professional_services,2021-2022,675378.41,627916.64
2_professional_services,2022-2023,795554.43,711135.16
3_information_technology,2019-2020,24207.56,23917.32
9_human_capital,2018-2019,25000.00,25667.42
9_human_capital,2021-2022,7204.30,6570.32
9_human_capital,2022-2023,19623.66,17559.33
