d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,18296933.06,18810521.20
1_facilities_and_construction,2018-2019,11908939.00,12060915.10
1_facilities_and_construction,2019-2020,15811304.65,15778887.43
1_facilities_and_construction,2020-2021,4100508.51,4036279.28
1_facilities_and_construction,2021-2022,3295895.48,2503695.43
