d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
11_defence,2017-2018,40531.26,41518.56
11_defence,2018-2019,69339.86,70393.50
11_defence,2019-2020,87813.90,87136.29
11_defence,2020-2021,39122.89,37245.63
11_defence,2021-2022,106748.54,97685.83
2_professional_services,2017-2018,62675.02,64355.38
2_professional_services,2021-2022,2438.57,2202.52
3_information_technology,2017-2018,7064344.47,7243739.21
3_information_technology,2018-2019,5643495.09,5725300.35
3_information_technology,2019-2020,13630028.12,13509725.84
3_information_technology,2020-2021,14717537.10,13986585.41
3_information_technology,2021-2022,8858348.75,8206129.91
4_medical,2021-2022,13332.55,12378.54
9_human_capital,2017-2018,14890.72,15255.56
9_human_capital,2018-2019,65836.44,66509.76
9_human_capital,2019-2020,163023.56,162574.83
9_human_capital,2020-2021,10970.84,10330.34
9_human_capital,2021-2022,471565.52,436980.78
