d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
10_office_management,2017-2018,1070349.05,1102491.76
10_office_management,2018-2019,739009.70,753064.21
10_office_management,2019-2020,767343.62,761101.82
10_office_management,2020-2021,501794.97,477470.21
10_office_management,2021-2022,240896.72,224725.14
10_office_management,2022-2023,252760.68,225667.33
11_defence,2017-2018,771697.82,795490.60
11_defence,2018-2019,672621.24,683674.06
11_defence,2019-2020,473153.12,466062.68
11_defence,2020-2021,141116.18,134851.11
11_defence,2021-2022,208675.16,194274.62
2_professional_services,2022-2023,12637.07,11229.98
3_information_technology,2017-2018,3109949.77,3202601.54
3_information_technology,2018-2019,2611211.92,2651731.94
3_information_technology,2019-2020,2828298.44,2776773.19
3_information_technology,2020-2021,852031.58,810086.79
3_information_technology,2021-2022,857109.31,790385.33
3_information_technology,2022-2023,983482.66,877481.91
5_transportation_and_logistics,2018-2019,27991.59,28253.08
6_industrial_products_and_services,2017-2018,111957.81,115297.00
6_industrial_products_and_services,2018-2019,19192.08,19602.30
6_industrial_products_and_services,2019-2020,29794.41,29565.96
6_industrial_products_and_services,2020-2021,204843.12,193093.19
6_industrial_products_and_services,2021-2022,622417.07,584010.14
9_human_capital,2017-2018,14715.75,15136.01
