d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,8677902.87
1_facilities_and_construction,2018-2019,2591483.32
10_office_management,2018-2019,829711.06
10_office_management,2019-2020,34384.55
11_defence,2017-2018,2377791.73
11_defence,2018-2019,4633582.19
11_defence,2019-2020,1253048.33
11_defence,2020-2021,2081762.03
3_information_technology,2017-2018,300741.00
3_information_technology,2018-2019,4698606.10
3_information_technology,2019-2020,1219427.80
3_information_technology,2020-2021,193230.00
