d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,32656.23
1_facilities_and_construction,2018-2019,1149511.84
1_facilities_and_construction,2019-2020,704285.81
10_office_management,2020-2021,3015.68
11_defence,2018-2019,27418.42
11_defence,2020-2021,55070.72
2_professional_services,2017-2018,20781.82
2_professional_services,2018-2019,45372.25
3_information_technology,2017-2018,69403.97
3_information_technology,2018-2019,336956.02
3_information_technology,2019-2020,292090.72
3_information_technology,2020-2021,1995366.46
6_industrial_products_and_services,2017-2018,3584459.19
6_industrial_products_and_services,2018-2019,2383523.35
6_industrial_products_and_services,2019-2020,1860963.99
6_industrial_products_and_services,2020-2021,828428.02
7_travel,2020-2021,15191.88
8_security_and_protection,2019-2020,73532.21
8_security_and_protection,2020-2021,13296.29
