d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2017-2018,13673.00,13907.87
0_other,2020-2021,84326.25,79706.13
0_other,2021-2022,236573.88,0.00
1_facilities_and_construction,2017-2018,2685.08,2731.21
1_facilities_and_construction,2018-2019,12104.69,12259.16
1_facilities_and_construction,2019-2020,32150.15,32116.16
1_facilities_and_construction,2020-2021,10345.75,10187.77
1_facilities_and_construction,2021-2022,4971.20,3776.33
10_office_management,2017-2018,2155816.26,2214483.42
10_office_management,2018-2019,2418171.41,2449931.97
10_office_management,2019-2020,1787411.01,1783833.09
10_office_management,2020-2021,2142370.56,2092471.54
10_office_management,2021-2022,2049105.84,1583678.88
2_professional_services,2017-2018,25168943.34,25822887.37
2_professional_services,2018-2019,28542320.83,28907297.34
2_professional_services,2019-2020,30602362.10,30540225.07
2_professional_services,2020-2021,27542964.32,26981551.69
2_professional_services,2021-2022,25533459.22,19392887.35
3_information_technology,2017-2018,432030.91,442433.30
3_information_technology,2018-2019,1014180.42,1026186.36
3_information_technology,2019-2020,1760361.37,1758096.72
3_information_technology,2020-2021,2560380.61,2468144.58
3_information_technology,2021-2022,2996665.88,2101695.21
4_medical,2019-2020,205.99,206.28
4_medical,2020-2021,29344.01,28608.10
4_medical,2021-2022,83283.99,49557.95
5_transportation_and_logistics,2017-2018,170432.73,175543.69
5_transportation_and_logistics,2018-2019,115375.90,116769.31
5_transportation_and_logistics,2019-2020,78158.92,77998.83
5_transportation_and_logistics,2020-2021,95047.97,92709.00
5_transportation_and_logistics,2021-2022,131042.49,106019.39
6_industrial_products_and_services,2017-2018,35673.36,36446.11
6_industrial_products_and_services,2018-2019,39843.48,40288.06
6_industrial_products_and_services,2019-2020,87793.86,87685.42
6_industrial_products_and_services,2020-2021,220028.59,211022.56
6_industrial_products_and_services,2021-2022,178094.59,134961.24
7_travel,2017-2018,286493.30,293850.85
7_travel,2018-2019,329003.37,332473.67
7_travel,2019-2020,117960.44,117906.63
8_security_and_protection,2017-2018,656800.15,674083.57
8_security_and_protection,2018-2019,1053674.45,1067050.56
8_security_and_protection,2019-2020,1041445.61,1039328.29
8_security_and_protection,2020-2021,1100924.03,1076700.06
8_security_and_protection,2021-2022,1188743.40,903017.54
9_human_capital,2017-2018,54368.76,55412.06
9_human_capital,2018-2019,113976.13,115478.03
9_human_capital,2019-2020,238170.47,238274.58
9_human_capital,2020-2021,274691.51,266938.24
9_human_capital,2021-2022,310967.76,230844.35
