d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,118152.80,120937.91
it_consulting_services,2018-2019,467863.96,474194.93
it_consulting_services,2019-2020,391294.55,386151.74
it_consulting_services,2020-2021,970753.55,919963.61
it_consulting_services,2021-2022,2458448.11,2278205.59
it_devices_equipment,2017-2018,354629.51,363661.95
it_devices_equipment,2018-2019,827080.73,839951.27
it_devices_equipment,2019-2020,897778.50,879770.86
it_devices_equipment,2020-2021,661356.72,631178.68
it_devices_equipment,2021-2022,884197.69,810468.69
it_other,2017-2018,45335.12,46543.13
it_other,2018-2019,142929.78,144894.32
it_other,2019-2020,564689.21,557081.98
it_other,2020-2021,1327095.49,1255417.11
it_other,2021-2022,165533.11,154285.10
it_software_licensing,2017-2018,205001.25,210118.68
it_software_licensing,2018-2019,327949.98,332871.68
it_software_licensing,2019-2020,734774.38,728252.87
it_software_licensing,2020-2021,169131.92,160224.02
it_software_licensing,2021-2022,394585.32,365659.86
