d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,7063742.03,7269829.67
it_consulting_services,2018-2019,34896647.35,35541440.45
it_consulting_services,2019-2020,40489697.92,40154251.34
it_consulting_services,2020-2021,41810602.38,39817283.43
it_consulting_services,2021-2022,47283706.87,43891117.81
it_consulting_services,2022-2023,60745028.83,54344448.43
it_devices_equipment,2017-2018,11934002.38,12302895.25
it_devices_equipment,2018-2019,13135629.23,13382254.45
it_devices_equipment,2019-2020,14012258.41,13900482.93
it_devices_equipment,2020-2021,13973973.55,13307704.03
it_devices_equipment,2021-2022,19742041.07,18314450.48
it_devices_equipment,2022-2023,22289392.17,19944560.99
it_other,2021-2022,873434.39,796683.60
it_other,2022-2023,5337079.54,4763917.14
it_software_licensing,2021-2022,46386.59,42808.34
it_software_licensing,2022-2023,120438.19,107430.70
