d_most_recent_category,total,percentage
2_professional_services,115671643.14,0.35232907187984197
3_information_technology,94877829.73,0.2889923301889952
1_facilities_and_construction,35081104.51,0.10685499623122026
6_industrial_products_and_services,33249410.27,0.10127576250356696
10_office_management,14296134.67,0.04354519158083129
5_transportation_and_logistics,10230500.27,0.031161506547446143
4_medical,9203242.54,0.028032539461362384
8_security_and_protection,8056393.79,0.024539305132542648
9_human_capital,6860691.41,0.020897265501356357
NA,635344.50,0.0019352222543386
7_travel,143406.79,4.3680871849820766e-4
