d_most_recent_category,total,percentage
2_professional_services,93234852.61,0.34521995979883635
3_information_technology,80948638.23,0.2997278898733094
1_facilities_and_construction,30616265.31,0.11336260616758723
6_industrial_products_and_services,25291861.02,0.09364797606153975
10_office_management,12479505.25,0.04620776651952307
5_transportation_and_logistics,9479505.91,0.03509969239800717
4_medical,6284565.62,0.023269811988301282
8_security_and_protection,6276147.07,0.02323864068845215
9_human_capital,4716872.87,0.01746512829741804
NA,635344.50,0.0023524851126155277
7_travel,110201.73,4.0804309441009446e-4
