owner_org,d_fiscal_year,total,total_constant_2019_dollars
dnd-mdn,2017-2018,2594152.83,2661446.62
dnd-mdn,2018-2019,2743168.60,2785174.59
dnd-mdn,2019-2020,1586058.83,1579002.61
dnd-mdn,2020-2021,1408874.46,1332892.31
dnd-mdn,2021-2022,4949077.64,4594982.00
pwgsc-tpsgc,2017-2018,23364.91,23970.38
pwgsc-tpsgc,2018-2019,23364.91,23728.27
pwgsc-tpsgc,2019-2020,11908.73,11801.27
