d_fiscal_year,total,total_constant_2019_dollars
2017-2018,2617517.74,2697850.74
2018-2019,2766533.51,2816301.25
2019-2020,1597967.56,1591580.57
2020-2021,1408874.46,1337222.70
2021-2022,4949077.64,4631185.15
