d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,2742043.12,2812496.90
it_consulting_services,2018-2019,3707487.21,3763630.15
it_consulting_services,2019-2020,4455791.88,4412883.49
it_consulting_services,2020-2021,2859711.62,2716442.02
it_consulting_services,2021-2022,4202759.43,3901131.07
it_devices_equipment,2017-2018,861980.06,882812.84
it_devices_equipment,2018-2019,1193585.99,1207472.66
it_devices_equipment,2019-2020,584541.58,577393.32
it_devices_equipment,2020-2021,547841.04,520751.66
it_devices_equipment,2021-2022,682032.56,623821.79
it_other,2017-2018,274852.90,281870.62
it_other,2018-2019,587520.08,595082.37
it_other,2019-2020,258244.50,255396.51
it_other,2020-2021,108735.50,103374.18
it_other,2021-2022,132854.77,123336.59
it_software_licensing,2017-2018,1746956.60,1791660.46
it_software_licensing,2018-2019,2826563.71,2867529.50
it_software_licensing,2019-2020,4948824.36,4905502.78
it_software_licensing,2020-2021,3218880.40,3059665.15
it_software_licensing,2021-2022,3597100.66,3338197.77
