d_vendor_name,overall_total
OCLC CANADA,11167614.219069002
CANADIAN CORPS OF COMMISSIONAIRES,8076807.65
TERAMACH TECHNOLOGIES,5519959.439421918
THE HALIFAX COMPUTER CONSULTING GROUP,2830516.2551403367
ORANGUTECH,2809698.3758040904
MODIS CANADA,2519884.9154477925
SI SYSTEMS,2181528.386889992
ADVANCED CHIPPEWA TECHNOLOGIES,1704342.75
IT NET CONSULTANTS,1662083.7464153292
CEV,1635563.2637966103
THE HALIFAX GROUP,1278639.8604000001
NISHA TECHONOLOGIES,915547.0252795031
TIREE,728701.52
TEKSYSTEMS CANADA,708988.4062509804
SHARP ELECTRONICS,668852.7339477094
GARTNER,659960.7556547619
KL ARCHIVAL FILM EQUIPMENT 1479007 ONTARIO,595693.9028732042
TECKSYSTEMS CANADA,564413.43
"NAVPOINT CONSULTING GROUP",559771.25
ORACLE CANADA,512920.1537260274
INTERNET ARCHIVES CANADA,400054.7645125959
FREEBALANCE,389606.022739726
CDW CANADA,368594.7523013699
PURESPIRIT SOLUTIONS,292519.48
EDGAR,281383.49
"NATIONAL ARCHIVAL APPRAISAL BOARD",281134.9582423994
DELOITTE AND TOUCHE,254430.63846580408
SOCIETE GAMMA,252768.51
ECLIPSYS SOLUTIONS,250836.63
KNOWLEDGE INTEGRATED,250588.8718989547
LIVINGSTONE ENTERPRISES,248156.5
RISTECH COMPANY,243974.39738916256
EMSEC SOLUTIONS,224386.41999999998
HELENE BERNIER,220456.97
OPROMA,219188.34
INTERNET ARCHIVE CANADA,211777.04485488127
BOUWDESIGN,204298.48
TAG HR THE ASSOCIATES GROUP HUMAN RESOURCES,200000
BANCTEC CANADA,197035.22175429182
ONX ENTERPRISE SOLUTIONS,193437.41000000003
ITEX,181617.67000000004
JEANNOT TRUDEL,168733.62
EXCEL HUMAN RESOURCES,160049.64
C E V,145278.96
WORKPLACE SAFETY PREVENTION SERVICES,142623.40237288136
DELL COMPUTER,138619.36821917808
COMPLETE MAILING SERVICE,135781.79646575343
ACCESSDATA GROUP,128004.68646575342
BCRM SERVICES,126165.41211610552
MOERAE SOLUTIONS,126050.02850122849
LES TRADUCTIONS TESSIERS S C C,122448.40000000001
FCI FLEMING COMMUNICATIONS,118125.75352054794
THE AIM GROUP,113651.7640586797
HUDON DESBIENS ST GERMAIN ENVIRONNEMENT,108800.81
I4C INFORMATION TECHNOLOGY CONSULTING,106156.65988679245
WORKPLACE SAFETY PREVENTION,105239.3240677966
NIMBLE INFORMATION STRATEGIES,101585
ODGERS BERNDTSON CANADA,99985.55
STEVENSON WRITERS,97958.70999999999
GCSTRATEGIES,97440
GRAYMETA,97073.37
AGILITY PR SOLUTIONS CANADA,96797.57186058981
MISHKUMI TECHNOLOGIES,95688.47
VISTEK,92443.62999999999
UNLIMI TECH SOFTWARE,91980
CARAHSOFT TECHNOLOGY,89285.35281021899
GEORGE BLOOD AUDIO VIDEO,87651.40324963072
MONTEL SMARTSPACE SOLUTIONS,86281.43
"NADINE BOURBONNIERE",85710
GILMORE PRINTING SERVICES,82205.55
MOVEPLAN CANADA,81732
EXPOGRAPHIQ,81256.56369458127
ADVANCED BUSINESS INTERIORS,81006.91
CHRISTY S EDITORIAL AND FILM SUPPLY,80581.69
TELECOM COMPUTER SERVICES,76260.70999999999
AVEPOINT CANADA,75973.65000000001
DER GRAPHICS AND CUSTOM FILING,75884.12000000001
ASOKAN SOLUTIONS DE BUREAU,75353
MEMNON ARCHIVING SERVICES,74932.7191513121
BMC SOFTWARE CANADA,74686.27394520548
EQUITRAD TRADUCTION,73469.03
PROSCI CANADA,72439.97671232877
SQUARED UP,72376.75438356164
ASOKAN BUSINESS INTERIORS,72039.17
HACKETT CONSULTING,70219.48101265823
IMDS CANADA,68994.71317518248
G S MANUFACTURING DIV OF 548692 ONTARIO,68416.37000000001
DER GRAPHICS,67195.74
PHASELOCK SYSTEMS INTL,66232.91
EDGARD,66225.61
ALLIANCE FRANCAISE HALIFAX DARTMOUTH,62400
ACCESS INFORMATION MANAGEMENT OF CANADA,61694.76
SMITH INDUSPAC,60465.29
MAXSYS 3755479 CANADA,60343.25
ENVIRONICS RESEARCH GROUP LMT,59332.91000000001
CIRESON,59087.13936986301
WEBTROPOLIS,58971.020000000004
CBCI TELECOM,57631.13
PHOENIX STRATEGIC PERSPECTIVES,56852.91858037579
C B Z,54603.00059880239
