d_vendor_name,overall_total
TERAMACH TECHNOLOGIES,5631075.77
CANADIAN CORPS OF COMMISSIONAIRES,4472897.37
OCLC CANADA,4374543.38
SI SYSTEMS,3830543.07
ORANGUTECH,2858322.46
MODIS CANADA,2838621.24
IT NET CONSULTANTS,2029794.46
THE HALIFAX COMPUTER CONSULTING GROUP,1997767.88
THE HALIFAX GROUP,1807782.21
ADVANCED CHIPPEWA TECHNOLOGIES,1721520.02
NISHA TECHONOLOGIES,1190770.39
CALIAN,919800.00
SHARP ELECTRONICS,847696.02
TIREE,728701.52
CISTEL TECHNOLOGY,717096.00
TEKSYSTEMS CANADA,708988.41
GARTNER,659960.76
ORACLE CANADA,644689.78
CDW CANADA,564179.96
NAVPOINT CONSULTING GROUP,559771.25
FREEBALANCE,505478.52
DELOITTE,344259.87
MICROSOFT CANADA,336690.57
BANCTEC CANADA,287045.05
PURESPIRIT SOLUTIONS,275651.48
ECLIPSYS SOLUTIONS,250836.63
TAG HR,220930.49
OPROMA,219188.34
NIMBLE INFORMATION STRATEGIES,205581.77
ONX ENTERPRISE SOLUTIONS,193437.41
ITEX,181617.67
DELL COMPUTER,161696.05
EXCEL HUMAN RESOURCES,160049.64
SOLUTIONS MOERAE,126050.03
LES TRADUCTIONS TESSIER,122448.40
THE AIM GROUP,113651.76
CORADIX TECHNOLOGY CONSULTING,105775.94
PROSCI CANADA,102106.93
CALYTERA SOFTWARE,97733.75
GC STRATEGIES,97440.00
MISHKUMI TECHNOLOGIES,95688.47
BMC SOFTWARE CANADA,93852.77
ASOKAN BUSINESS INTERIORS,92642.69
CARAHSOFT TECHNOLOGY,89285.35
ERNST YOUNG,86984.35
GILMORE PRINTING SERVICES,82205.55
ADVANCED BUSINESS INTERIORS,81006.91
TELECOM COMPUTER SERVICES,76260.71
SOFTSIM TECHNOLOGIES,67701.02
3M CANADA COMPANY,60076.04
ENVIRONICS RESEARCH GROUP,59332.91
CBCI TELECOM,57631.13
PHOENIX STRATEGIC PERSPECTIVES,56852.92
APPLIED ELECTONICS,56438.65
INFO TECH RESEARCH GROUP,52460.00
LUMINA IT,49132.69
NOVA NETWORKS,47621.23
NORTHERN MICRO,47276.11
AON REED STENHOUSE,45200.00
NIELSEN,39988.44
TECSIS,38804.07
NATIONS TRANSLATION GROUP,38712.45
MGIS,34492.50
CGI,34478.70
GLOBAL KNOWLEDGE,33751.75
TEEL TECHNOLOGIES CANADA,31897.74
QUANTUM MANAGEMENT SERVICES,29607.52
CISION CANADA,28148.62
QUADBRIDGE,27729.33
RICOH,25340.13
COMPUGEN,24953.02
EXP SERVICES,24719.62
STRATOS,24255.00
MNP,24150.00
KPMG,24144.75
ROHDE SCHWARZ CANADA,23325.75
TRM TECHNOLOGIES,23229.15
FAST TRACK STAFFING,23100.00
PITNEY BOWES,22566.88
PORTAGE PERSONNEL,21202.89
CANADIAN STANDARDS ASSOCIATION,18611.00
AVI SPL,18429.27
PRINTERS PLUS,17815.38
HYPERTEC,15536.86
COMMVAULT SYSTEMS,15176.70
HAWORTH,14981.25
IMP GROUP,14946.75
SOFTCHOICE,14052.50
SIMPLEX GRINNELL,12797.76
CONVERGINT TECHNOLOGIES,12118.24
PROLOGIC SYSTEMS,11322.68
INSTITUTE ON GOVERNANCE,10000.00
CLOSEREACH,7275.72
CANON,3582.73
GILMORE REPRODUCTIONS,3361.92
