d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,39813.724715549935
1_facilities_and_construction,2018-2019,39813.724715549935
1_facilities_and_construction,2019-2020,24507.386661367247
1_facilities_and_construction,2020-2021,21628.851112877583
10_office_management,2017-2018,364784.0176392365
10_office_management,2018-2019,381828.9153035587
10_office_management,2019-2020,381200.046671609
10_office_management,2020-2021,200366.1334664866
2_professional_services,2017-2018,1451666.5949834154
2_professional_services,2018-2019,1970261.9208116417
2_professional_services,2019-2020,2411426.534529895
2_professional_services,2020-2021,2805997.286687963
3_information_technology,2017-2018,5223047.250216519
3_information_technology,2018-2019,7299458.050643542
3_information_technology,2019-2020,8312913.434370499
3_information_technology,2020-2021,5640767.301614515
6_industrial_products_and_services,2017-2018,288295.10103608866
6_industrial_products_and_services,2018-2019,281079.0465119502
6_industrial_products_and_services,2019-2020,738904.4777777947
6_industrial_products_and_services,2020-2021,762115.5759826018
7_travel,2018-2019,583986.1261304348
7_travel,2019-2020,879584.0418260869
7_travel,2020-2021,877180.8067391304
8_security_and_protection,2017-2018,273866.7304918033
8_security_and_protection,2018-2019,41270.70950819672
8_security_and_protection,2019-2020,281506.17
8_security_and_protection,2020-2021,2036258.1
9_human_capital,2017-2018,193963.09367592825
9_human_capital,2018-2019,329904.5131569466
9_human_capital,2019-2020,589783.9002150086
9_human_capital,2020-2021,194994.10646943937
