owner_org,d_fiscal_year,total
aandc-aadnc,2017-2018,18058.649999999998
dfatd-maecd,2019-2020,50000
dfo-mpo,2017-2018,2142416.9831822664
dfo-mpo,2018-2019,1757894.720322198
dfo-mpo,2019-2020,1852846.8083042451
dfo-mpo,2020-2021,156427331.4186972
dnd-mdn,2017-2018,472790.68361605017
dnd-mdn,2018-2019,202936.34153846154
dnd-mdn,2019-2020,189023.75
dnd-mdn,2020-2021,233769.94
ic,2020-2021,117200.59507692308
nrc-cnrc,2019-2020,21402.2
nrcan-rncan,2018-2019,11661.240000000002
pc,2017-2018,99454.84
pc,2018-2019,121120.94
pc,2019-2020,139042.73
pwgsc-tpsgc,2017-2018,39315.85999999999
rcmp-grc,2017-2018,51853.82
rcmp-grc,2018-2019,103826.57
