d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,392186.2544015444
1_facilities_and_construction,2018-2019,314649.7080075188
1_facilities_and_construction,2019-2020,106332.66199248121
10_office_management,2018-2019,24487.02666666667
10_office_management,2019-2020,29519.93333333333
2_professional_services,2017-2018,9070290.675098935
2_professional_services,2018-2019,6881622.569374999
2_professional_services,2019-2020,7980040.667748287
2_professional_services,2020-2021,3165158.58
5_transportation_and_logistics,2019-2020,19377.75
6_industrial_products_and_services,2017-2018,97102.21423357664
6_industrial_products_and_services,2018-2019,78678.14781021897
6_industrial_products_and_services,2019-2020,78893.70437956204
6_industrial_products_and_services,2020-2021,29438.213576642334
