d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,1660067.94,1708993.21
it_consulting_services,2018-2019,1511363.00,1544209.84
it_consulting_services,2019-2020,981192.45,977955.70
it_consulting_services,2020-2021,1121987.49,1066053.77
it_consulting_services,2021-2022,612750.20,561424.80
it_consulting_services,2022-2023,1074333.57,957718.34
it_other,2017-2018,6907.95,7105.23
it_other,2018-2019,149420.35,152272.89
it_other,2019-2020,167584.64,166320.25
it_other,2020-2021,170414.70,162343.73
it_software_licensing,2017-2018,157297.59,162184.50
it_software_licensing,2018-2019,71555.32,72347.61
it_software_licensing,2019-2020,84384.68,84203.66
it_software_licensing,2020-2021,38420.00,36610.82
