owner_org,d_fiscal_year,total
dfo-mpo,2017-2018,3392832.36
dfo-mpo,2018-2019,9567100.78
dfo-mpo,2019-2020,16977435.96
dfo-mpo,2020-2021,12010956.04
dnd-mdn,2017-2018,6003632.876999999
dnd-mdn,2018-2019,34779542.29188889
dnd-mdn,2019-2020,10463985.411111113
dnd-mdn,2020-2021,6146440.493952244
pc,2018-2019,46336.78
pc,2019-2020,10218.82
