d_most_recent_category,total,percentage
2_professional_services,1321225967.09,0.6611834933003982
3_information_technology,546069993.44,0.27327079155533196
8_security_and_protection,48512246.91,0.024277071203232563
10_office_management,35958428.51,0.01799474122283877
9_human_capital,34263319.01,0.01714645451741662
5_transportation_and_logistics,3707001.41,0.0018551014016292746
4_medical,3666470.45,0.001834818419831697
6_industrial_products_and_services,3066888.83,0.001534768709862193
1_facilities_and_construction,1332599.35,6.66875093749832e-4
NA,344718.93,1.7250831577685883e-4
7_travel,126643.15,6.337625993204404e-5
