d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,30977980.12,31922271.26
it_consulting_services,2018-2019,37549815.00,38175042.88
it_consulting_services,2019-2020,34131301.14,33866719.96
it_consulting_services,2020-2021,26509123.95,25255338.55
it_consulting_services,2021-2022,29415858.96,27538926.10
it_software_licensing,2017-2018,2536565.36,2614058.69
it_software_licensing,2018-2019,3028686.16,3083904.57
it_software_licensing,2019-2020,4417587.49,4383893.94
it_software_licensing,2020-2021,4498691.01,4286988.29
it_software_licensing,2021-2022,7390492.15,6919020.50
