d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2018-2019,91229.2244680851
1_facilities_and_construction,2019-2020,230275.14589875273
1_facilities_and_construction,2020-2021,229645.9788334556
11_defence,2017-2018,3271959.8009415693
11_defence,2018-2019,6975300.856381517
11_defence,2019-2020,7086010.746635619
11_defence,2020-2021,7240117.686298955
2_professional_services,2017-2018,9016663.009669626
2_professional_services,2018-2019,9331459.663289322
2_professional_services,2019-2020,13656082.464023286
2_professional_services,2020-2021,15448895.497740561
3_information_technology,2017-2018,33111167.780019436
3_information_technology,2018-2019,40054704.006788
3_information_technology,2019-2020,37965226.37498586
3_information_technology,2020-2021,29973416.313981336
