d_fiscal_year,total,total_constant_2019_dollars
2017-2018,45399790.59,46572087.95
2018-2019,56452693.75,57291957.14
2019-2020,58937594.73,58456728.62
2020-2021,56301382.79,53501102.85
2021-2022,75682531.25,57405012.72
